ts,pmaxo,pmaxc
0.002,0.000025499535172664374,0.0,
0.004,0.000026072093064668622,0.0,
0.006,1920.905782159852,4728.140201661094,
0.008,7810.664131249891,5015.2562729911715,
0.01,5244.043462242325,8058.167256159451,
0.012,6631.55778660269,7287.08827157478,
0.014,6845.9080564355545,0.0,
0.016,5736.415463548527,13406.710707881337,
0.018000000000000002,7003.821599766595,4652.081671714949,
0.02,7035.442135869439,4976.290123287549,
0.022,8173.879508544373,10437.869622204404,
0.024,9551.876629212386,9976.588517581433,
0.026000000000000002,10802.140621464321,10011.264774960502,
0.028,13936.291333482803,13174.879660862316,
0.03,16788.0157963885,19019.27351481136,
0.032,21355.968068205162,24340.204607243857,
0.034,28401.90236799771,27538.90726702248,
0.036000000000000004,36654.374548745305,42936.37007897846,
0.038,48722.97424388712,54424.77706187517,
0.04,61725.21998542651,66063.50049522959,
0.042,73431.43638117035,75027.86094199684,
0.044,78916.8558967042,80256.39157667749,
0.046,77222.46136701226,77212.65294847514,
0.048,72974.22467605573,74498.81343364839,
0.05,66029.90939905505,69754.1988723237,
0.052000000000000005,64584.300933359846,61464.84647965207,
0.054,63970.341670469155,60777.83841617538,
0.056,59412.32976822027,65709.24191609272,
0.058,61728.88609584497,62961.85427386728,
0.06,71556.44751254289,73201.71120664688,
0.062,76017.58996429572,87122.81380533725,
0.064,89476.77766075697,102261.20373408431,
0.066,108850.78458262928,114902.22012799805,
0.068,122381.34333038256,133021.96194891722,
0.07,133858.97446545633,138696.38056538563,
0.07200000000000001,143586.4306898125,149333.20387568622,
0.074,155409.83339070002,165301.5601853485,
0.076,178121.0898124185,201919.79051146132,
0.078,225933.76205765517,261872.59998772191,
0.08,280749.3165425392,292874.9539151405,
0.082,292406.6472814248,270024.28986137867,
0.084,255998.74213571186,230061.54956283935,
0.08600000000000001,223583.03138585555,218779.0260984057,
0.088,217003.7664342321,238503.5026313094,
0.09,236460.0961758679,272720.24451888615,
0.092,275919.2549383837,313188.81410602457,
0.094,300533.9578889487,319663.93691199354,
0.096,297750.7048763772,321372.2330509504,
0.098,299293.04399843,334609.52568613424,
0.1,326067.06867490755,354089.5633592529,
0.10200000000000001,343648.45356008306,325888.3543859751,
0.10400000000000001,309220.6237133692,262585.54001369054,
0.106,263995.66943464655,248769.4916712804,
0.108,247965.4279081236,267662.336283396,
0.11,264901.7065988048,333974.6227053022,
0.112,333034.013574137,502910.86603539524,
0.114,490546.45609200734,584137.5103543239,
0.116,555817.4649874243,367144.3882197285,
0.11800000000000001,367959.49414841627,310874.9998140986,
0.12,300342.0755340158,283986.7356029091,
0.122,282646.3983429724,328676.2631920802,
0.124,333883.96787481435,451394.74350746744,
0.126,471326.73076193896,555772.9966955568,
0.128,575180.5214169158,435730.16557787487,
0.13,447902.1715019581,271979.12567839044,
0.132,284097.5370171783,191660.89068116352,
0.134,206151.46643005146,154283.6262799269,
0.136,167538.40575440036,132361.16935008173,
0.138,142557.8974999514,111000.65028346622,
0.14,122456.24257448612,96300.73541944394,
0.14200000000000002,107009.5272281959,87634.43740765189,
0.14400000000000002,99326.77298720408,79543.45993119832,
0.146,102099.9364946516,80553.7113879169,
0.148,117061.42641306538,90123.33434668946,
0.15,144569.2776068242,103319.29716342948,
0.152,177708.31201513854,129714.19129219599,
0.154,197370.92860959686,161603.89330609678,
0.156,187215.88713673636,169867.8877359627,
0.158,156660.15252562883,155715.11280154978,
0.16,126514.53689996197,140676.54476530442,
0.162,104230.37129212036,112306.4729277808,
0.164,88676.11372361363,100675.47033711213,
0.166,77270.82431418696,89106.74047379389,
0.168,68243.94920926575,75150.77712183472,
0.17,60398.06480242916,66997.04566883492,
0.17200000000000001,53287.22550946464,58729.883127000016,
0.17400000000000002,47173.2204017562,53219.94383495815,
0.176,42255.46339547235,47736.30653773515,
0.178,38755.014087491625,45022.57033466276,
0.18,36882.25112295469,42312.75304894035,
0.182,36911.90608614594,42348.88869296092,
0.184,39267.36333655179,42464.772064447796,
0.186,44683.24931904226,45610.50014729186,
0.188,54355.538749255866,54259.144292967976,
0.19,69813.0434326108,63222.439668776504,
0.192,91081.17364001375,81189.58773537935,
0.194,112532.683997148,98854.98588960375,
0.196,121342.31640355653,104539.07061041432,
0.198,111640.06296112714,100978.88072868786,
0.2,94620.95950722178,93881.03584208695,
0.202,80767.58030413467,84233.99471390145,
0.20400000000000001,72325.8368942984,80982.09879482008,
0.20600000000000002,68464.55109398415,83502.60114421119,
0.20800000000000002,69899.87110881797,84149.72037602944,
0.21,76299.2169937472,97018.71920523519,
0.212,86713.27773047842,109866.2941409861,
0.214,98823.23776914745,114469.77055315318,
0.216,106724.13505069933,117944.70597323572,
0.218,104148.45122252668,99179.02588415338,
0.22,92407.27078180645,83510.74365455219,
0.222,79262.16833986872,67984.4864351873,
0.224,69887.43041598181,61415.27150056878,
0.226,65242.47073035543,57895.74067804842,
0.228,64839.51550935926,69892.35059306906,
0.23,68791.24296514296,79949.6208317164,
0.232,78173.09004740132,97137.29646822001,
0.234,96600.29708923429,123076.21726728493,
0.23600000000000002,129984.11529426601,151239.4504706318,
0.23800000000000002,180053.98485297716,189260.85669464394,
0.24,221436.03384820724,199388.67333453413,
0.242,205476.11141730993,164850.51768182634,
0.244,151335.94966562983,128428.79816907507,
0.246,113077.8928816216,108846.67001183961,
0.248,92905.78934634571,98983.13508731847,
0.25,81714.20324411697,98247.20003627267,
0.252,74620.56405788356,97315.49756313025,
0.254,69140.35882326463,90637.93990467023,
0.256,68867.81770308991,79081.77062973406,
0.258,69340.62843503848,73583.42817292306,
0.26,66851.50079355275,68316.18727086009,
0.262,59161.7678470922,71435.61237859407,
0.264,57834.06087814427,72164.54728629021,
0.266,65062.76254297065,81630.32652295694,
0.268,78020.89480472567,88382.33789498423,
0.27,97044.77331680308,103699.4120146993,
0.272,118896.77952683666,115226.06090951872,
0.274,133120.6506494484,123694.15407312172,
0.276,130830.54137564082,136667.54618666566,
0.278,121859.43366730605,147726.70285540156,
0.28,121524.8746697488,171707.97851250076,
0.28200000000000003,137519.1126641934,205217.9032435716,
0.28400000000000003,169674.72570069012,223108.66833475555,
0.28600000000000003,215297.97100546694,229825.73536737423,
